Project,Sprint/Taskgroup,task#,Parent,Title,Description,Start Date,Due Date,Status,Type,Assigned To,Priority,Created By,Estimated Hour,Label,Start Time,End Time,Break Time,Is Billable
PartiuShop TI ,,89,88,Lista Categorias Macro planejamento - 15%,,09-20-2021,09-24-2021,,,,,,,,,,,
PartiuShop TI ,,90,88,Produtos - % sobre venda de acordo com categoria,,09-27-2021,09-28-2021,,,,,,,,,,,
PartiuShop TI ,,91,88,Plano de anuncio x tempo,,08-24-2021,09-01-2021,,,,,,,,,,,
PartiuShop TI ,,92,88,Desativar?!?!? email de planos,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,93,0,E-Mails Templates,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,94,93,Corrigir envio de e-mails (Problema no serviço de mail),,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,95,0,Listar todos serviços que enviam email,,08-24-2021,08-27-2021,,,,,,,,,,,
PartiuShop TI ,,96,95,Cobrança de plano (Excluir ou mudar),,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,97,95,Corrigir/Alterar textos dos emails,,08-24-2021,08-27-2021,,,,,,,,,,,
PartiuShop TI ,,98,0,E-Mails CORREIOS,,08-24-2021,08-27-2021,,,,,,,,,,,
PartiuShop TI ,,99,98,Aviso saiu para entrega,,08-24-2021,08-27-2021,,,,,,,,,,,
PartiuShop TI ,,100,98,Aviso Entregue,,08-24-2021,08-27-2021,,,,,,,,,,,
PartiuShop TI ,,101,0,Correios 2.0,,08-24-2021,09-06-2021,,,,,,,,,,,
PartiuShop TI ,,102,101,Gerar etiqueta,,08-24-2021,09-06-2021,,,,,,,,,,,
PartiuShop TI ,,103,0,Compactação/Restrição de imagens,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,104,103,Verificar como a plataforma trata as imagens,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,105,103,Sugerir ação,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,106,103,Tempo de implementação,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,107,0,IMPORTANTE - ANTES DO LANÇAMENTO,,02-16-2022,03-01-2022,,,,,,,,,,,
PartiuShop TI ,,108,107,Remover todos os vínculos com a desenvolvedor (16/02/2022),,02-16-2022,02-22-2022,,,,,,,,,,,
PartiuShop TI ,,109,107,Remover vínculos com tema (16/02/2022),,02-23-2022,03-01-2022,,,,,,,,,,,
PartiuShop TI ,,110,0,ERP Partiu.Shop,,08-24-2021,09-24-2021,,,,,,,,,,,
PartiuShop TI ,,111,110,Definição de estrategia,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,112,110,leitura de documentação,,08-25-2021,08-26-2021,,,,,,,,,,,
PartiuShop TI ,,113,110,Dev da API,,08-27-2021,09-24-2021,,,,,,,,,,,
PartiuShop TI ,,114,0,Integrações atendimento Partiu.Shop,,09-16-2021,10-26-2021,,,,,,,,,,,
PartiuShop TI ,,115,114,Definição por parte Edison / Robson,,09-16-2021,09-22-2021,,,,,,,,,,,
PartiuShop TI ,,116,114,Leitura da documentação,,09-23-2021,09-23-2021,,,,,,,,,,,
PartiuShop TI ,,117,114,Integração de APIs,,09-24-2021,10-05-2021,,,,,,,,,,,
PartiuShop TI ,,118,114,Integração da PartiuShop com ??????,,10-05-2021,10-26-2021,,,,,,,,,,,
PartiuShop TI ,,119,0,ADS - REE46,,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,120,119,Integração e testes,,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,121,119,Verificar problemas caso não atualizar a plataforma,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,122,0,MOBILE APP - PARTIU.SHOP,,10-26-2021,11-04-2021,,,,,,,,,,,
PartiuShop TI ,,123,122,Instalação,,10-26-2021,11-02-2021,,,,,,,,,,,
PartiuShop TI ,,124,122,Analise de requisitos,,11-02-2021,11-04-2021,,,,,,,,,,,
PartiuShop TI ,,125,0,INTEGRAÇÕES FUTURAS,,08-24-2021,09-20-2021,,,,,,,,,,,
PartiuShop TI ,,126,126,Correios - RFID,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,127,126,Integração com outros meios de transporte,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,128,126,JadLog,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,129,126,TNT,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,130,0,Correios LOG+,,08-24-2021,09-20-2021,,,,,,,,,,,
PartiuShop TI ,,131,130,Leitura de documentação,,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,132,130,Integração,,08-24-2021,09-20-2021,,,,,,,,,,,
